First Name,Last Name,Phone,Email,Company Name,City,State,Website,Tags
,,8179848678,reception@ftworthtitle.com,Fort Worth Title,,,https://ftworthtitle.com/,
,,8173291510,careers@texastitle.com,Texas Title - Fort Worth,,,http://www.texastitle.com/,
,,8174352035,LuxeTeam@PattenTitle.com,Patten Title Company - Fort Worth,,,https://pattentitle.com/fortworth/,
,,8175198803,title@texassecuretitle.com,Texas Secure Title Company,,,http://www.texassecuretitle.com/,
,,8178403655,compliance@willistonfinancial.com,WFG National Title Company,,,http://texas.wfgnationaltitle.com/locations/fort-worth/,
,,8174652800,Info@CloseElite.com,Elite Title Company,,,https://www.closeelite.com/,
,,8178109594,mrosner@protitletx.com,Providence Title Company,,,http://www.protitletx.com/,
,,2143733500,nathan.wood@allegiancetitle.com,Allegiance Title Company Preston Center - Corporate,,,http://www.allegiancetitle.com/,
,,8177325695,mediarelations@stewart.com,Stewart Title of North Texas - Fort Worth,,,http://www.stewart.com/dfw,
,,2143895100,Ryan@TiagoTX.com,"Tiago Title, LLC",,,https://tiagotx.com/,
,,8172300600,amoelkers@dhititle.com,DHI Title Agency,,,https://dhititle.com/states/Texas/Fort-Worth,
,,8178556400,mrosner@protitletx.com,Providence Title Company,,,http://www.protitletx.com/,
,,9726304700,nathan.wood@allegiancetitle.com,Allegiance Title Company Frisco,,,http://www.allegiancetitle.com/,
,,9722649044,nathan.wood@allegiancetitle.com,Allegiance Title Company - Grand Prairie,,,http://www.allegiancetitle.com/,
,,8174310500,nathan.wood@allegiancetitle.com,Allegiance Title Company Southlake,,,http://www.allegiancetitle.com/,
,,8178060250,brian.min.alamotitle@outlook.com,Alamo Title Company,,,https://dfw.alamotitle.com/Fort-Worth-Magnolia,
,,8173589500,info@junipertitle.com,"Juniper Title, Inc",,,http://junipertitle.com/,
,,9722067470,compliance@willistonfinancial.com,WFG National Title Company,,,https://wfgnationaltitle.com/,
,,9723555525,nathan.wood@allegiancetitle.com,Allegiance Title Company Flower Mound,,,http://www.allegiancetitle.com/,
,,8178497166,corporatehumanresources@oldrepublictitle.com,Old Republic Title,,,https://www.oldrepublictitle.com/texas/dfw/alliance,
,,9723088000,mediarelations@stewart.com,Stewart Title Company - North Dallas,,,http://www.stewart.com/dfw,
,,2146235589,Jeff.Fielder@IndependenceTitle.com,Independence Title Company - Schultz & Kellar - Dallas,,,https://www.independencedfw.com/our-team/dallas,
,,9727333800,careers@texastitle.com,Texas Title - Headquarters,,,http://www.texastitle.com/,
,,8175198802,title@texassecuretitle.com,Texas Secure Title Company,,,http://www.texassecuretitle.com/,
,,2145211122,nathan.wood@allegiancetitle.com,Allegiance Title Turtle Creek,,,http://www.allegiancetitle.com/,
